,Month,Date,Material,Pit,Reduced Level,Site Mixed Emulsion(Kg),Emulboost 125gm,Emulboost 250gm,DTH 6M,DTH 8M,DTH 10m,DTH 12m,TLD 5m (17ms),TLD 5m (25ms),TLD 5m (42ms),TLD 5m (65ms),TLD 5m (100ms),Electronic Detonator,Number Of Hole,Spacing,Burden,Meterage Blasted,Total Blasted Volume,Bulk Density,Total Blasted Tonnage,Powder Factor,Yield,Total Booster Explosive(Kg),Booster Ratio
173,Mar'23,2023-02-03,SG,Pit3,685,1860,62.0,62.0,0.0,0.0,0.0,0.0,10.0,28.0,15.0,15.0,0.0,2.0,62,4.0,3.5,248,3968.0,3.5,14165.76,7.62,57.12,23.25,0.0125
174,Mar'23,2023-02-03,HO,Pit1,700,8340,58.0,58.0,0.0,58.0,0.0,58.0,0.0,22.0,20.0,20.0,0.0,2.0,58,4.0,3.5,638,8932.0,4.0,36442.56,4.37,57.12,21.75,0.0026079136690647484
175,Mar'23,2023-06-03,HO,Pit1,700,14380,99.0,99.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,2.0,99,4.0,3.5,1040,14560.0,4.0,59404.8,4.13,57.12,37.12,0.0025813630041724616
176,Mar'23,2023-03-16,HO,Pit1,710,10440,75.0,75.0,0.0,75.0,0.0,75.0,0.0,19.0,28.0,17.0,16.0,2.0,75,4.0,3.5,825,11550.0,4.0,47124.0,4.51,57.12,28.12,0.0026934865900383144
177,Mar'23,2023-03-20,SG,Pit1,680,11780,90.0,90.0,0.0,90.0,0.0,90.0,0.0,25.0,30.0,30.0,15.0,2.0,90,4.0,4.0,990,15840.0,3.5,56548.8,4.8,57.12,33.75,0.002865025466893039
178,Mar'23,2023-10-03,SG,Pit1,700,9110,53.0,73.0,53.0,0.0,24.0,49.0,0.0,38.0,18.0,16.0,8.0,2.0,73,4.0,3.5,767,10738.0,3.5,38334.66,4.21,49.98,24.88,0.002731064763995609
179,Mar'23,2023-11-03,HO,Pit1,700,9660,69.0,69.0,0.0,0.0,138.0,0.0,0.0,30.0,23.0,20.0,0.0,2.0,69,4.0,3.5,759,10626.0,4.0,43354.08,4.49,57.12,25.88,0.0026790890269151138
180,Mar'23,2023-11-03,SG,Pit3,680,11330,36.0,95.0,0.0,0.0,131.0,0.0,30.0,23.0,22.0,15.0,10.0,2.0,95,4.0,3.5,927,12978.0,3.5,46331.46,4.09,49.98,28.25,0.002493380406001765
181,Mar'23,2023-03-14,HO,Pit1,690,13550,72.0,97.0,0.0,72.0,25.0,72.0,0.0,31.0,20.0,26.0,25.0,2.0,97,4.0,3.5,969,13566.0,4.0,55349.28,4.08,57.12,33.25,0.0024538745387453873
182,Mar'23,2023-03-27,SG,Pit1,700,10540,91.0,91.0,0.0,91.0,0.0,91.0,0.0,33.0,27.0,22.0,15.0,2.0,91,4.0,3.5,956,17208.0,3.5,61432.56,5.83,64.26,34.12,0.00323719165085389
183,Mar'23,2023-03-27,HO,Pit1,690,12610,80.0,95.0,0.0,80.0,15.0,80.0,0.0,42.0,25.0,24.0,10.0,2.0,95,4.0,3.5,975,13650.0,4.0,55692.0,4.42,57.12,33.75,0.00267644726407613
184,Mar'23,2023-03-22,HO,Pit1,700,7130,47.0,67.0,0.0,47.0,0.0,67.0,0.0,22.0,23.0,20.0,8.0,2.0,67,4.0,3.5,570,7980.0,4.0,32558.4,4.57,57.12,22.62,0.0031725105189340814
185,Mar'23,2023-03-24,SG,Pit1,680,10620,50.0,79.0,0.0,50.0,29.0,50.0,0.0,29.0,34.0,21.0,0.0,2.0,79,4.0,3.5,811,11354.0,3.5,40533.78,3.82,49.98,26.0,0.002448210922787194
186,Mar'23,2024-03-31,OB,Pit1,700,8670,61.0,61.0,0.0,0.0,61.0,61.0,0.0,32.0,0.0,17.0,0.0,2.0,61,4.0,3.5,641,8974.0,3.5,32037.18,3.7,49.98,22.88,0.0026389850057670127
