,Month,Date,Material,Pit,Reduced Level,Site Mixed Emulsion(Kg),Emulboost 125gm,Emulboost 250gm,DTH 6M,DTH 8M,DTH 10m,DTH 12m,TLD 5m (17ms),TLD 5m (25ms),TLD 5m (42ms),TLD 5m (65ms),TLD 5m (100ms),Electronic Detonator,Number Of Hole,Spacing,Burden,Meterage Blasted,Total Blasted Volume,Bulk Density,Total Blasted Tonnage,Powder Factor,Yield,Total Booster Explosive(Kg),Booster Ratio
96,october'22,2022-12-10,HO,Pit2,680,7076,50.0,50.0,0.0,50.0,0.0,50.0,0.0,25.0,13.0,13.0,0.0,1.0,50,4.0,3.5,550,7700.0,4.0,31416.0,4.44,57.12,18.75,0.002649802148106275
97,october'22,2022-10-14,OB,Pit2,690,13400,99.0,99.0,0.0,0.0,99.0,99.0,27.0,26.0,35.0,15.0,0.0,2.0,99,4.0,4.0,1089,17424.0,3.0,53317.44,3.98,48.96,37.12,0.002770149253731343
98,october'22,2023-10-18,SG,Pit3,680,15130,80.0,123.0,80.0,0.0,0.0,123.0,40.0,30.0,33.0,0.0,30.0,2.0,123,4.0,3.5,1291,18074.0,3.5,64524.18,4.26,49.98,40.75,0.0026933245208195637
99,october'22,2022-10-21,FO,Pit3,670,4080,34.0,34.0,0.0,34.0,0.0,34.0,16.0,18.0,0.0,0.0,0.0,1.0,34,4.0,3.5,357,4998.0,3.5,17842.86,4.37,49.98,12.75,0.003125
100,october'22,2022-10-21,OB,Pit3,670,3920,0.0,43.0,0.0,0.0,43.0,0.0,0.0,0.0,15.0,0.0,36.0,1.0,43,4.0,3.5,366,5124.0,3.0,15679.44,4.0,42.84,10.75,0.00274234693877551
101,october'22,2022-10-21,OB,Pit2,660,14790,13.0,131.0,13.0,0.0,131.0,0.0,0.0,32.0,68.0,44.0,0.0,1.0,131,4.0,4.0,1186,18976.0,3.0,58066.56,3.93,48.96,34.38,0.0023245436105476676
102,october'22,2022-10-21,SG,Pit2,660,3000,62.0,0.0,62.0,0.0,0.0,0.0,0.0,35.0,30.0,0.0,0.0,1.0,62,4.0,3.5,341,4774.0,3.5,17043.18,5.68,49.98,7.75,0.0025833333333333333
103,october'22,2022-10-22,HO,Pit1,690,11040,78.0,78.0,0.0,78.0,0.0,78.0,0.0,55.0,0.0,27.0,0.0,2.0,78,4.0,3.5,819,11466.0,4.0,46781.28,4.24,57.12,29.25,0.0026494565217391303
104,october'22,2023-10-26,OB,Pit2,690,9710,84.0,62.0,42.0,42.0,20.0,42.0,0.0,55.0,0.0,55.0,0.0,3.0,104,4.0,3.5,801,11214.0,3.0,34314.84,3.53,42.84,26.0,0.002677651905252317
105,october'22,2022-10-28,HO,Pit1,690,13990,98.0,98.0,0.0,98.0,98.0,0.0,0.0,30.0,39.0,20.0,22.0,2.0,98,4.0,3.5,1078,15092.0,4.0,61575.36,4.4,57.12,36.75,0.0026268763402430306
106,November'22,2022-02-11,HO,Pit2,690,3000,36.0,17.0,26.0,27.0,0.0,0.0,0.0,0.0,38.0,0.0,30.0,2.0,53,4.0,3.5,335,4690.0,4.0,19135.2,6.38,57.12,8.75,0.002916666666666667
107,November'22,2022-02-11,FO,Pit3,660,8420,70.0,70.0,70.0,0.0,0.0,0.0,28.0,0.0,24.0,12.0,12.0,2.0,70,4.0,3.5,735,11760.0,3.5,41983.2,4.99,57.12,26.25,0.0031175771971496437
108,November'22,2022-03-11,HO,Pit1,690,6000,43.0,43.0,43.0,0.0,0.0,63.0,17.0,15.0,0.0,10.0,10.0,2.0,43,4.0,3.5,451,6314.0,4.0,25761.12,4.29,57.12,16.12,0.0026866666666666666
109,November'22,2022-03-11,SG,Pit3,670,7870,60.0,60.0,60.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,65.0,2.0,60,4.0,3.5,630,8820.0,3.5,31487.4,4.0,49.98,22.5,0.0028589580686149934
110,November'22,2022-04-11,HO,Pit1,690,10570,76.0,76.0,0.0,76.0,0.0,76.0,25.0,33.0,20.0,0.0,17.0,2.0,76,4.0,3.5,798,11172.0,4.0,45581.76,4.31,57.12,28.5,0.002696310312204352
111,November'22,2022-09-11,HO,Pit2,690,4480,56.0,0.0,0.0,56.0,0.0,0.0,22.0,30.0,15.0,0.0,0.0,2.0,56,4.0,3.5,392,5488.0,4.0,22391.04,5.0,57.12,7.0,0.0015625
112,November'22,2022-09-11,FO,Pit3,650,1680,48.0,48.0,0.0,14.0,0.0,0.0,14.0,22.0,22.0,0.0,0.0,2.0,48,4.0,3.5,216,3456.0,3.5,12337.92,7.34,57.12,18.0,0.010714285714285714
113,November'22,2022-11-11,OB,Pit3,690,750,17.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,17,3.5,3.5,102,1249.0,3.0,3821.94,5.1,37.47,2.12,0.002826666666666667
114,November'22,2022-11-11,HO,Pit1,690,15750,106.0,106.0,0.0,106.0,0.0,106.0,18.0,25.0,0.0,30.0,35.0,1.0,106,4.0,3.5,1113,15582.0,4.0,63574.56,4.04,57.12,39.75,0.0025238095238095237
115,November'22,2022-11-15,SG,Pit3,680,13800,163.0,88.0,0.0,0.0,10.0,78.0,0.0,0.0,67.0,45.0,70.0,2.0,163,4.0,3.5,1369,19166.0,3.5,68422.62,4.96,49.98,42.38,0.0030710144927536234
